Datum;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;BSW;Sonstige
2025-02-14 08:00:00;31.6;15.6;13;4;5;20.3;4.5;5.9
2025-02-14 23:12:54;30;15.5;13.5;4;6;20.5;4.5;6
